"sample_id","file","fh_null_mean_mse","fh_full_mean_mse","bhf_mean_mse","fh_null_ok","fh_full_ok","bhf_ok","error_msg"
"sample_121","../../data_raw/samples/transformed/sample_121.RDS",0.837239061633705,0.201577758165849,0.312681993628602,TRUE,TRUE,TRUE,NA
"sample_122","../../data_raw/samples/transformed/sample_122.RDS",0.857682299081739,0.488870002451113,0.358436498551479,TRUE,TRUE,TRUE,NA
"sample_123","../../data_raw/samples/transformed/sample_123.RDS",0.851409581643812,0.385944248759036,0.297361090952844,TRUE,TRUE,TRUE,NA
"sample_124","../../data_raw/samples/transformed/sample_124.RDS",0.862930934060792,0.446583147725534,0.348217692276279,TRUE,TRUE,TRUE,NA
"sample_125","../../data_raw/samples/transformed/sample_125.RDS",0.889307861304233,0.472735364288912,0.395277878486989,TRUE,TRUE,TRUE,NA
"sample_126","../../data_raw/samples/transformed/sample_126.RDS",0.850683185072012,0.424315309919716,0.300114473442999,TRUE,TRUE,TRUE,NA
"sample_127","../../data_raw/samples/transformed/sample_127.RDS",0.826267934938658,0.439960890000964,0.374559401257896,TRUE,TRUE,TRUE,NA
"sample_128","../../data_raw/samples/transformed/sample_128.RDS",0.890380704223621,0.429252128860798,0.323490983332129,TRUE,TRUE,TRUE,NA
"sample_129","../../data_raw/samples/transformed/sample_129.RDS",0.755564151226663,0.249018868137792,0.326069177824452,TRUE,TRUE,TRUE,NA
"sample_130","../../data_raw/samples/transformed/sample_130.RDS",0.845586933604834,0.43652364839541,0.319573901524004,TRUE,TRUE,TRUE,NA
"sample_131","../../data_raw/samples/transformed/sample_131.RDS",0.797175746832822,0.241850925546514,NA,TRUE,TRUE,FALSE,"BHF failed: Singularität in backsolve auf Stufe 0, Block 1"
"sample_132","../../data_raw/samples/transformed/sample_132.RDS",0.836788264451639,0.487849935284587,0.310844849916206,TRUE,TRUE,TRUE,NA
"sample_133","../../data_raw/samples/transformed/sample_133.RDS",0.84030256280534,0.362468718094423,0.322957407382756,TRUE,TRUE,TRUE,NA
"sample_134","../../data_raw/samples/transformed/sample_134.RDS",0.845703634852187,0.336567290555707,0.307651127203947,TRUE,TRUE,TRUE,NA
"sample_135","../../data_raw/samples/transformed/sample_135.RDS",0.853713233209766,0.436176694578419,0.356033521910496,TRUE,TRUE,TRUE,NA
"sample_136","../../data_raw/samples/transformed/sample_136.RDS",0.877067245488588,0.428704211724157,0.348644565027689,TRUE,TRUE,TRUE,NA
"sample_137","../../data_raw/samples/transformed/sample_137.RDS",0.802453296979146,0.2145973317984,0.259472435803531,TRUE,TRUE,TRUE,NA
"sample_138","../../data_raw/samples/transformed/sample_138.RDS",0.844524626940262,0.26129861479808,0.30990318242283,TRUE,TRUE,TRUE,NA
"sample_139","../../data_raw/samples/transformed/sample_139.RDS",0.840167201970861,0.459828440043539,0.316767895503381,TRUE,TRUE,TRUE,NA
"sample_140","../../data_raw/samples/transformed/sample_140.RDS",0.811141216580791,0.535881835555025,0.285234706097623,TRUE,TRUE,TRUE,NA
"sample_141","../../data_raw/samples/transformed/sample_141.RDS",0.826692825882562,0.420516402436618,0.334816891880869,TRUE,TRUE,TRUE,NA
"sample_142","../../data_raw/samples/transformed/sample_142.RDS",0.849701934823233,0.484422725534658,0.357767512193439,TRUE,TRUE,TRUE,NA
"sample_143","../../data_raw/samples/transformed/sample_143.RDS",0.890475319894524,0.666064999180996,0.352214288558071,TRUE,TRUE,TRUE,NA
"sample_144","../../data_raw/samples/transformed/sample_144.RDS",0.836364807647829,0.187710001468015,0.33647833161621,TRUE,TRUE,TRUE,NA
"sample_145","../../data_raw/samples/transformed/sample_145.RDS",0.820607589568727,0.331840886124479,0.283194442597611,TRUE,TRUE,TRUE,NA
"sample_146","../../data_raw/samples/transformed/sample_146.RDS",0.800682510466959,0.362035422902328,0.29953286623772,TRUE,TRUE,TRUE,NA
"sample_147","../../data_raw/samples/transformed/sample_147.RDS",0.823436179006412,0.404095224714239,0.317573762985963,TRUE,TRUE,TRUE,NA
"sample_148","../../data_raw/samples/transformed/sample_148.RDS",0.841229099380789,0.44426646628171,0.371861468741263,TRUE,TRUE,TRUE,NA
"sample_149","../../data_raw/samples/transformed/sample_149.RDS",0.813825903767132,0.384589103244052,0.337755271068971,TRUE,TRUE,TRUE,NA
"sample_150","../../data_raw/samples/transformed/sample_150.RDS",0.809775161256158,0.528750945295969,0.388534265963085,TRUE,TRUE,TRUE,NA
"sample_151","../../data_raw/samples/transformed/sample_151.RDS",0.803222769414335,0.419372439587427,0.299185442126479,TRUE,TRUE,TRUE,NA
"sample_152","../../data_raw/samples/transformed/sample_152.RDS",0.864997174213197,0.535906868030996,0.366273840701922,TRUE,TRUE,TRUE,NA
"sample_153","../../data_raw/samples/transformed/sample_153.RDS",0.861527902418149,0.309511337221668,0.387008034469211,TRUE,TRUE,TRUE,NA
"sample_154","../../data_raw/samples/transformed/sample_154.RDS",0.801920411123991,0.296673308101038,0.302556102665654,TRUE,TRUE,TRUE,NA
"sample_155","../../data_raw/samples/transformed/sample_155.RDS",0.769370178862897,0.436336086888206,0.309657165920132,TRUE,TRUE,TRUE,NA
"sample_156","../../data_raw/samples/transformed/sample_156.RDS",0.866749248708886,0.449769768280803,0.399466179026054,TRUE,TRUE,TRUE,NA
"sample_157","../../data_raw/samples/transformed/sample_157.RDS",0.86524447383173,0.486762023546258,0.349564789918165,TRUE,TRUE,TRUE,NA
"sample_158","../../data_raw/samples/transformed/sample_158.RDS",0.820424009803043,0.492016117308857,0.303692285876281,TRUE,TRUE,TRUE,NA
"sample_159","../../data_raw/samples/transformed/sample_159.RDS",0.823610441534245,0.348525394523627,NA,TRUE,TRUE,FALSE,"BHF failed: Singularität in backsolve auf Stufe 0, Block 1"
